tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label
'503866345822244864',Mon Aug 25 11:27:52 +0000 2014,NewsYouN2Know,2420642647,en,NA,NA,"Â_ USA 592 Earthquake Earthquake rattles, doesn t wreck Napa wineries news24lhot Georgia USA Augusta-Richmond... http://t.co/S8EMU5FrXH",https://twitter.com/NewsYouN2Know/status/503866345822244864,Infrastructure and utilities
'503866373961809920',Mon Aug 25 11:27:59 +0000 2014,debbyxme,2300611952,en,NA,NA,â€¢ â€¢ Earthquake #Earthquake California Earthquake San Francisco 428 â€¢ Northern California Struâ€_... http://t.co/WG0ufzf2W1 #Earthquake,https://twitter.com/debbyxme/status/503866373961809920,Other relevant information
'503866427322159104',Mon Aug 25 11:28:12 +0000 2014,StluciaMirror,1098312948,en,NA,NA,WCVB Boston: California quake: Recovering after 6.0 tremor. http://t.co/9LgBex6FSc,https://twitter.com/StluciaMirror/status/503866427322159104,Other relevant information
'503866453280317440',Mon Aug 25 11:28:18 +0000 2014,rockermom53,14522779,en,NA,NA,I don't know. CALIFORNIA. if u had a winery the first thing I'd do is make the wine storage earthquake proof.  But that's just me.,https://twitter.com/rockermom53/status/503866453280317440,Not related or irrelevant
'503866484461170688',Mon Aug 25 11:28:25 +0000 2014,1310news,190738551,en,NA,NA,"NOW: Possible #Timmies, #BurgerKing merger, #Ottawa stabbing, Ottawa drowning, #Napa #quake LISTEN: http://t.co/wiW3aVkxBG  #Ottnews",https://twitter.com/1310news/status/503866484461170688,Not related or irrelevant
'503866526676819969',Mon Aug 25 11:28:36 +0000 2014,WhatIsNewsToday,2659360682,en,NA,NA,California quake damages historic buildings - http://t.co/bTKumsLzgf #News,https://twitter.com/WhatIsNewsToday/status/503866526676819969,Infrastructure and utilities
'503866614161211392',Mon Aug 25 11:28:56 +0000 2014,feedsynbot,2459920208,en,NA,NA,"California wine country rocked by 6.0 quake, dozens hurt - Reuters: ReutersCalifornia wine country rocked by 6... http://t.co/MdNt9Ibdqz",https://twitter.com/feedsynbot/status/503866614161211392,Other relevant information
'503866635745099776',Mon Aug 25 11:29:02 +0000 2014,talktopics,51516140,en,NA,NA,90% Of CA Homes Don't Have Quake Insurance. There Are Reasons http://t.co/mo4N9W8iv1,https://twitter.com/talktopics/status/503866635745099776,Infrastructure and utilities
'503866707568373760',Mon Aug 25 11:29:19 +0000 2014,bingwifel,256922485,en,NA,NA,Earthquake Mag 2.8 Saturday 8/23/14 8:24pm UTC Central California #PocketWeather http://t.co/Ns8PlEEKfS http://t.co/vu3AD86L36,https://twitter.com/bingwifel/status/503866707568373760,Other relevant information
'503866815203012608',Mon Aug 25 11:29:44 +0000 2014,luismorozcov,1037506849,en,NA,NA,California begins quake clear-up http://t.co/doxn3OaY14,https://twitter.com/luismorozcov/status/503866815203012608,Infrastructure and utilities
